Name,Start Date ,End Date,Category,,,,,
,,,,,,,,
Milton,10/9/24,10/10/24,3,,,,,
Helene,9/26/24,9/28/24,4,,,,,
Francine,9/10/24,9/12/24,2,,,,,
Debby,8/4/24,8/8/24,1,,,,,
Beryl,7/8/24,7/9/24,1,,,,,
Idalia,8/30/23,8/31/23,3,,,,,
Nicole,11/9/22,11/11/22,1,,,,,
Ian,9/27/22,9/30/22,4,,,,,
Nicholas,9/13/21,9/16/21,1,,,,,
Ida,8/28/21,9/1/21,4,,,,,
Zeta,10/28/20,10/29/20,3,,,,,
Delta,10/9/20,10/10/20,2,,,,,
Sally,9/12/20,9/17/20,2,,,,,
Laura,8/25/20,8/29/20,4,,,,,
Isaias,8/1/20,8/4/20,1,,,,,
Hanna,7/25/20,7/26/20,1,,,,,
Dorian,9/2/19,9/7/19,2,,,,,
Barry,7/11/19,7/16/19,1,,,,,
Michael,10/9/18,10/11/18,5,,,,,
Florence,9/13/18,9/17/18,1,,,,,
Nate,10/7/17,10/8/17,1,,,,,
Irma,9/9/17,9/13/17,3,,,,,
Harvey,8/25/17,9/1/17,4,,,,,
Matthew,10/6/16,10/9/16,1,,,,,
Hermine,8/30/16,9/3/16,1,,,,,
Arthur,6/29/14,7/5/14,2,,,,,
Isaac,8/26/12,9/1/12,1,,,,,
Irene,8/25/11,8/28/11,1,,,,,
Ike,9/9/08,9/14/08,2,,,,,
Gustav,8/30/08,9/4/08,2,,,,,
Dolly,7/23/08,7/26/08,1,,,,,
Humberto,9/12/07,9/14/07,1,,,,,
Wilma,10/24/05,10/25/05,3,,,,,
Rita,9/20/05,9/26/05,3,,,,,
Katrina,8/25/05,8/30/05,3,,,,,
Dennis,7/8/05,7/13/05,3,,,,,
Cindy,7/5/05,7/7/05,1,,,,,
Jeanne,9/25/04,9/28/04,3,,,,,
Ivan,9/16/04,9/18/04,3,,,,,
Gaston,8/28/04,8/31/04,1,,,,,
Frances,9/4/04,9/8/04,2,,,,,
Charley,8/13/04,8/14/04,4,,,,,
Isabel,9/18/03,9/19/03,2,,,,,
Claudette,7/15/03,7/17/03,1,,,,,
Lili,10/2/02,10/4/02,1,,,,,
Floyd,9/14/99,9/17/99,2,,,,,
Bret,8/22/99,8/24/99,3,,,,,
Georges,9/25/98,10/1/98,2,,,,,
Earl,9/2/98,9/3/98,1,,,,,
Bonnie,8/26/98,8/29/98,2,,,,,
Danny,7/17/97,7/26/97,1,,,,,
Fran,9/5/96,9/8/96,3,,,,,
Bertha,7/11/96,7/14/96,2,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
